episode,step,reward
976,677737,285.40280216060887
977,678560,285.296304557607
978,679372,285.2428839976883
979,679509,281.4645545638578
980,680070,279.36700006409876
981,680807,279.3990345574697
982,681557,279.4141607933449
983,682306,279.4685257542198
984,683062,279.48634296396096
985,683802,279.583668353891
986,684122,276.6027027344205
987,684875,276.6385876158048
988,685608,276.77144455619714
989,686351,276.7779703835832
990,687084,276.80609172180067
991,687800,276.8859280567981
992,688599,276.8298988182738
993,689377,276.86311644957607
994,690149,276.83674555808255
995,690867,276.942053156223
996,691553,278.5586900336513
997,692305,278.53993504350746
998,693068,278.5897075010894
999,693802,278.6565297074426
1000,694549,278.73586526842666
1001,695304,278.806658269051
1002,696050,278.8485687818189
1003,696805,278.9799215306754
1004,697576,279.01592974427894
1005,698292,281.7868737990573
1006,699019,281.89430793071466
1007,699752,281.9301644571399
1008,700536,281.96108811828685
1009,701281,284.452739100183
1010,702029,284.50852483471033
1011,702758,284.49296106530693
1012,703484,284.5648886085485
1013,703984,282.3928266357064
1014,704766,282.330498015028
1015,705539,282.314711680755
1016,706275,283.64845025805914
1017,707025,283.68750591688337
1018,707759,283.7333703248215
1019,708532,283.7208098131735
1020,709280,283.69629619162043
1021,710008,283.7354734199586
1022,710803,283.6699977218295
1023,711537,285.9604736687121
1024,712288,286.02128812806967
1025,712997,286.05103172164354
1026,713705,286.1753150613154
1027,714480,286.169480106683
1028,715285,286.1388482685507
1029,716088,286.12065862107875
1030,716871,286.19333327884897
1031,717620,286.26004989817045
1032,718339,286.28075156445885
1033,719043,289.033412508006
1034,719762,289.04233155101394
1035,720523,289.14112293386876
1036,721270,289.16353569473597
1037,722056,289.08465572045907
1038,722470,286.53199491045666
1039,722774,283.3635430111321
1040,723534,283.3786574033428
1041,724252,283.4104415405859
1042,724981,283.40340447328293
1043,725773,283.38280973508404
1044,726558,283.39292759159486
1045,727303,283.4108430482103
1046,728060,283.4046997636308
1047,728441,280.7942418661864
1048,729182,280.81710955108866
